Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	hours_0	hours_6	hours_12	hours_18	hours_24	hours_30	hours_36	hours_42	hours_48	hours_54	hours_60	hours_66	hours_72	hours_78	hours_84	hours_90	hours_96	hours_102	hours_108	hours_114	hours_120	hours_126	hours_132	hours_138
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	F	4	54	F04	0.25378529999999999	2.656663	3.2661880000000001	3.8996189999999999	5.1947289999999997	5.8640059999999998	7.1584919999999999	9.6428820000000002	11.46116	12.27951	14.36604	16.325430000000001	21.15615	24.823889999999999	30.289729999999999	33.791809999999998	38.271050000000002	41.476739999999999	46.556800000000003	49.48695	53.975850000000001	59.257849999999998	63.408810000000003	67.677599999999998
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	G	4	55	G04	0.91705349999999997	2.5754290000000002	3.293609	3.9219970000000002	4.4511900000000004	5.2383839999999999	6.603675	7.8215539999999999	9.2087380000000003	15.0825	17.52807	21.62462	26.140250000000002	30.90099	37.440489999999997	45.134149999999998	56.084870000000002	66.572620000000001	77.811689999999999	87.083399999999997	93.987070000000003	97.721670000000003	98.428790000000006	99.173159999999996
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	H	4	56	H04	0.40616669999999999	2.3587370000000001	2.693476	3.3699379999999999	3.4005420000000002	4.299226	4.9511669999999999	5.8387229999999999	7.4351430000000001	14.841480000000001	19.742010000000001	24.560210000000001	29.69519	37.316220000000001	46.656869999999998	54.642090000000003	66.697230000000005	77.732320000000001	84.759770000000003	91.883979999999994	96.055539999999993	98.153390000000002	99.305639999999997	99.665599999999998
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	I	4	57	I04	0.4077556	3.0982639999999999	3.8163119999999999	4.8648910000000001	5.5070940000000004	7.6892709999999997	8.7804629999999992	11.602359999999999	14.5669	18.887	18.924859999999999	20.7408	21.340890000000002	22.796109999999999	22.281079999999999	22.449839999999998	23.111740000000001	22.323370000000001	22.150590000000001	21.308150000000001	19.969059999999999	19.50864	18.701720000000002	17.314609999999998
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	J	4	58	J04	0.48215059999999998	2.3690289999999998	3.1122860000000001	3.7576689999999999	4.2637900000000002	5.2463980000000001	7.3553629999999997	9.2858940000000008	12.19393	24.931360000000002	27.744620000000001	31.904869999999999	34.977220000000003	37.427120000000002	38.325449999999996	41.59543	41.398890000000002	44.70008	42.4542	43.152279999999998	43.944679999999998	42.423729999999999	42.058219999999999	37.682020000000001
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	K	4	59	K04	0.69683899999999999	2.4956450000000001	3.1818490000000001	3.5743369999999999	4.2086670000000002	5.4694450000000003	6.7229660000000004	8.7252010000000002	10.712870000000001	15.23742	18.407060000000001	20.679110000000001	24.963339999999999	27.279710000000001	29.12811	31.608910000000002	33.391979999999997	34.464700000000001	35.244979999999998	36.440620000000003	37.388570000000001	36.710990000000002	37.076140000000002	33.964570000000002
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	L	4	60	L04	1.2990429999999999	2.8035869999999998	3.3367170000000002	4.0627069999999996	5.6817169999999999	6.2685199999999996	8.6026640000000008	11.33849	14.001440000000001	16.367439999999998	19.849779999999999	24.779879999999999	29.94933	35.288539999999998	40.545780000000001	47.084600000000002	50.763269999999999	56.815980000000003	60.746000000000002	66.199969999999993	68.45335	71.665880000000001	74.808310000000006	76.636380000000003
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	M	4	61	M04	1.3980300000000001	2.25312	2.4223520000000001	2.5854409999999999	3.1140119999999998	3.7803200000000001	4.669403	5.9435820000000001	6.9869079999999997	13.588649999999999	18.101459999999999	22.984100000000002	27.583459999999999	34.003450000000001	41.574530000000003	51.124580000000002	58.887099999999997	67.114170000000001	75.770480000000006	82.434510000000003	88.418360000000007	92.257270000000005	95.159559999999999	97.228319999999997
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	N	4	62	N04	1.585294	1.808824	2.1441180000000002	2.4336139999999999	3.25265	3.876754	4.8632330000000001	5.579688	7.3446490000000004	12.06282	17.77439	23.88223	30.909680000000002	40.168500000000002	47.891950000000001	60.32676	72.264399999999995	81.938019999999995	89.734409999999997	95.388400000000004	96.680899999999994	98.303700000000006	98.682299999999998	99.234080000000006
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	O	4	63	O04	1.57742	6.7609529999999998	2.1405949999999998	2.5258319999999999	3.0441780000000001	3.6770559999999999	4.6859780000000004	6.4408620000000001	9.4461539999999999	14.5924	20.78257	26.213840000000001	35.74962	42.89922	56.810699999999997	68.941299999999998	78.604190000000003	87.453950000000006	92.895030000000006	96.075990000000004	97.579279999999997	99.023820000000001	99.155940000000001	99.307929999999999
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	P	4	64	P04	4.4239810000000004	1.9735	2.3379439999999998	2.8121520000000002	3.629324	4.2936310000000004	5.9102199999999998	7.7370049999999999	9.4219109999999997	9.7883560000000003	14.05104	19.34104	24.92079	32.401029999999999	42.325000000000003	51.497860000000003	62.446770000000001	72.78931	82.236490000000003	89.536150000000006	92.873289999999997	96.523820000000001	97.944360000000003	98.884699999999995
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	A	5	65	A05	0.99586920000000001	1.2535909999999999	1.480162	1.677028	1.9312959999999999	2.3686159999999998	2.45648	2.8205779999999998	2.960181	5.823391	7.0372620000000001	8.463063	10.473380000000001	13.71603	17.703240000000001	23.58597	33.72184	43.412750000000003	57.694000000000003	72.630920000000003	85.525739999999999	93.683909999999997	96.654790000000006	97.790670000000006
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	B	5	66	B05	1.1786449999999999	1.6750940000000001	2.1930930000000002	2.6202570000000001	3.068632	3.8581050000000001	4.2302879999999998	5.608771	6.6003550000000004	5.4276530000000003	7.089969	8.4909719999999993	11.259740000000001	15.52243	20.62321	27.417809999999999	37.391719999999999	47.817959999999999	59.419350000000001	72.061840000000004	82.953559999999996	90.609660000000005	92.502899999999997	95.681079999999994
