Plate_ID,Plate_Row,Plate_Col,Well_No,Well_ID,% Positive W2 (MultiWaveScoring),Cell: W2 Nucleus Average Intensity (MultiWaveScoring),Total Cells (MultiWaveScoring)
20201215_JM_01,M,20,317,M20,30.168776,848.965155,474
20201215_JM_01,N,20,318,N20,49.565216,1061.669312,230
20201215_JM_01,O,20,319,O20,8.567208,704.128304,677
20201215_JM_01,P,20,320,P20,0,507.561717,757
20201215_JM_01,A,21,321,A21,4.024145,680.44673,497
20201215_JM_01,B,21,322,B21,71.501534,1191.813523,979
20201215_JM_01,C,21,323,C21,6.547619,718.249438,672
20201215_JM_01,D,21,324,D21,12.184874,752.611105,952
20201215_JM_01,E,21,325,E21,11.570248,746.167291,605
20201215_JM_01,F,21,326,F21,13.497823,740.635741,689
20201215_JM_01,G,21,327,G21,4.557641,679.662376,746
20201215_JM_01,H,21,328,H21,17.684887,767.96491,311
20201215_JM_01,I,21,329,I21,5.906313,713.706439,491
20201215_JM_01,J,21,330,J21,7.375271,689.680966,461
20201215_JM_01,K,21,331,K21,4.223744,780.382753,876
20201215_JM_01,L,21,332,L21,7.172131,684.241565,488
20201215_JM_01,M,21,333,M21,9.925558,726.151704,403
20201215_JM_01,N,21,334,N21,41.26984,932.291423,126
20201215_JM_01,O,21,335,O21,5.988858,706.033187,718
20201215_JM_01,P,21,336,P21,0.151286,555.9105,661
20201215_JM_01,A,22,337,A22,3.944125,701.937339,1217
20201215_JM_01,B,22,338,B22,65.737701,4700.322239,610
20201215_JM_01,C,22,339,C22,4.532164,665.943962,684
20201215_JM_01,D,22,340,D22,3.10559,699.799876,1449
20201215_JM_01,E,22,341,E22,7.779349,699.69332,707
20201215_JM_01,F,22,342,F22,5.654008,711.036101,1185
20201215_JM_01,G,22,343,G22,4.886562,670.884076,573
20201215_JM_01,H,22,344,H22,15.315315,761.026268,555
20201215_JM_01,I,22,345,I22,6.003752,712.804439,533
20201215_JM_01,J,22,346,J22,4.245974,663.983663,683
20201215_JM_01,K,22,347,K22,5.384615,731.128996,520
20201215_JM_01,L,22,348,L22,5.707196,669.445042,403
20201215_JM_01,M,22,349,M22,8.910892,729.776427,202
20201215_JM_01,N,22,350,N22,48.780487,892.111857,205
20201215_JM_01,O,22,351,O22,5.540166,664.361716,722
20201215_JM_01,P,22,352,P22,0.091659,542.61527,1091
20201215_JM_01,A,23,353,A23,0,0,0
20201215_JM_01,B,23,354,B23,0,0,0
20201215_JM_01,C,23,355,C23,0,0,0
20201215_JM_01,D,23,356,D23,0,0,0
20201215_JM_01,E,23,357,E23,0,0,0
20201215_JM_01,F,23,358,F23,0,0,0
20201215_JM_01,G,23,359,G23,0,0,0
20201215_JM_01,H,23,360,H23,0,0,0
20201215_JM_01,I,23,361,I23,0,0,0
20201215_JM_01,J,23,362,J23,0,0,0
20201215_JM_01,K,23,363,K23,0,0,0
20201215_JM_01,L,23,364,L23,0,0,0
20201215_JM_01,M,23,365,M23,0,0,0
20201215_JM_01,N,23,366,N23,0,0,0
20201215_JM_01,O,23,367,O23,0,0,0
20201215_JM_01,P,23,368,P23,0,0,0
20201215_JM_01,A,24,369,A24,0,0,0
20201215_JM_01,B,24,370,B24,0,0,0
20201215_JM_01,C,24,371,C24,0,0,0
20201215_JM_01,D,24,372,D24,0,0,0
20201215_JM_01,E,24,373,E24,0,0,0
20201215_JM_01,F,24,374,F24,0,0,0
20201215_JM_01,G,24,375,G24,0,0,0
20201215_JM_01,H,24,376,H24,0,0,0
20201215_JM_01,I,24,377,I24,0,0,0
20201215_JM_01,J,24,378,J24,0,0,0
20201215_JM_01,K,24,379,K24,0,0,0
20201215_JM_01,L,24,380,L24,0,0,0
20201215_JM_01,M,24,381,M24,0,0,0
20201215_JM_01,N,24,382,N24,0,0,0
20201215_JM_01,O,24,383,O24,0,0,0
20201215_JM_01,P,24,384,P24,0,0,0
