Cell ID	Plate ID	Well Y	Well X	MEASUREMENT SET ID	Total Cells (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Scan_ID	Well_ID
10298_90794_90794_0	10298	9	19	20181	2734	51.426482999999898	91.404533000000001	10298	I19
10298_90795_90795_0	10298	10	19	20181	3641	50.233452	92.282341000000002	10298	J19
10298_90796_90796_0	10298	11	19	20181	3658	45.215964999999898	94.805908000000002	10298	K19
10298_90797_90797_0	10298	12	19	20181	3836	45.620438	93.508865	10298	L19
10298_90798_90798_0	10298	13	19	20181	3700	41.270271000000001	89.24324	10298	M19
10298_90799_90799_0	10298	14	19	20181	3722	47.071468000000003	92.907036000000005	10298	N19
10298_90811_90811_0	10298	3	20	20181	1626	57.626075999999898	99.938498999999894	10298	C20
10298_90810_90810_0	10298	4	20	20181	1587	39.949589000000003	99.432891999999896	10298	D20
10298_90809_90809_0	10298	5	20	20181	1744	35.493118000000003	99.082565000000002	10298	E20
10298_90808_90808_0	10298	6	20	20181	2260	27.9646019999999	94.336281	10298	F20
10298_90807_90807_0	10298	7	20	20181	3463	30.031765	85.763785999999897	10298	G20
10298_90806_90806_0	10298	8	20	20181	4063	45.557468	94.831406000000001	10298	H20
10298_90805_90805_0	10298	9	20	20181	2960	73.141891000000001	96.283783	10298	I20
10298_90804_90804_0	10298	10	20	20181	3419	53.436675999999899	92.307693	10298	J20
10298_90803_90803_0	10298	11	20	20181	3825	54.588234	97.620918000000003	10298	K20
10298_90802_90802_0	10298	12	20	20181	3568	42.544842000000003	89.097533999999897	10298	L20
10298_90801_90801_0	10298	13	20	20181	3906	44.623657000000001	91.3466489999999	10298	M20
10298_90800_90800_0	10298	14	20	20181	3208	45.480049000000001	91.770576000000005	10298	N20
10298_90812_90812_0	10298	3	21	20181	2036	60.166995999999898	89.636543000000003	10298	C21
10298_90813_90813_0	10298	4	21	20181	3052	36.369594999999897	71.297507999999894	10298	D21
10298_90814_90814_0	10298	5	21	20181	3581	34.487572	86.735550000000003	10298	E21
10298_90815_90815_0	10298	6	21	20181	3503	33.685412999999897	86.754210999999898	10298	F21
10298_90816_90816_0	10298	7	21	20181	3502	29.354654	80.439751000000001	10298	G21
10298_90817_90817_0	10298	8	21	20181	3898	47.203693000000001	93.3042599999999	10298	H21
10298_90818_90818_0	10298	9	21	20181	2891	92.666900999999896	84.226912999999897	10298	I21
10298_90819_90819_0	10298	10	21	20181	3551	88.904533000000001	91.748801999999898	10298	J21
10298_90820_90820_0	10298	11	21	20181	3425	71.883208999999894	92.145988000000003	10298	K21
10298_90821_90821_0	10298	12	21	20181	3399	50.338332999999899	88.172989000000001	10298	L21
10298_90822_90822_0	10298	13	21	20181	3280	45.457317000000003	84.512191999999899	10298	M21
10298_90823_90823_0	10298	14	21	20181	3634	53.769950999999899	92.294990999999897	10298	N21
10298_90835_90835_0	10298	3	22	20181	1981	63.705199999999898	88.692581000000004	10298	C22
