Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	8	113	A08	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	8	114	B08	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	8	115	C08	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	8	116	D08	320	320	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	8	117	E08	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	8	118	F08	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	8	119	G08	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	8	120	H08	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	8	121	I08	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	8	122	J08	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	8	123	K08	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	8	124	L08	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	8	125	M08	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	8	126	N08	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	8	127	O08	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	8	128	P08	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	9	129	A09	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	9	130	B09	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	9	131	C09	1040	1040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	9	132	D09	840	840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	9	133	E09	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	9	134	F09	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	9	135	G09	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	9	136	H09	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	9	137	I09	1880	1880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	9	138	J09	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	9	139	K09	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	9	140	L09	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	9	141	M09	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	9	142	N09	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	9	143	O09	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	9	144	P09	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	10	145	A10	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	10	146	B10	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	10	147	C10	1120	1120	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	10	148	D10	920	920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	10	149	E10	680	680	-
