Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10368	M14	20277	543.4576843	5.35170095	543.8439636	0.396825	543.4576843	5.35170095	543.8439636	0	2016	A375	Day01
10368	M15	20277	573.3678181	21.18689343	573.856509	1.03831	573.3678181	21.18689343	573.856509	3.58E-02	2793	A375	Day01
10368	M16	20277	475.7240852	2.818070876	475.8428725	0.233536	475.7240852	2.818070876	475.8428725	0	2141	A375	Day01
10368	M17	20277	549.1007214	22.61828404	549.4681004	0.757326	549.1007214	22.61828404	549.4681004	0	3037	A375	Day01
10368	M18	20277	4701.42743	5057.04443	4891.484395	100	4701.42743	5057.04443	4891.484395	94.792374	2938	A375	Day01
10368	M19	20277	3602.522033	3602.013299	3587.602673	100	3602.522033	3602.013299	3587.602673	78.215225	2667	A375	Day01
10368	M20	20277	3968.181667	3604.599901	3739.750486	99.875778	3968.181667	3604.599901	3739.750486	70.931679	2415	A375	Day01
10368	M21	20277	4038.915842	4162.185009	4097.557173	100	4038.915842	4162.185009	4097.557173	86.87957	2599	A375	Day01
10368	M22	20277	4650.368908	4726.433733	4666.837432	100	4650.368908	4726.433733	4666.837432	94.429604	2621	A375	Day01
10368	N13	20277	545.5598887	7.548519849	545.6586783	0.474834	545.5598887	7.548519849	545.6586783	4.75E-02	2106	A375	Day01
10368	N14	20277	449.3510711	0	449.3510711	0	449.3510711	0	449.3510711	0	1541	A375	Day01
10368	N15	20277	531.066338	5.985339257	531.4287235	0.285307	531.066338	5.985339257	531.4287235	4.76E-02	2103	A375	Day01
10368	N16	20277	508.4034807	16.1974308	509.2304708	0.409976	508.4034807	16.1974308	509.2304708	3.42E-02	2927	A375	Day01
10368	N17	20277	556.1974153	0.649403272	556.3963297	4.53E-02	556.1974153	0.649403272	556.3963297	0	2206	A375	Day01
10368	N18	20277	2959.688578	2446.299696	2631.352519	99.951828	2959.688578	2446.299696	2631.352519	40.847786	2076	A375	Day01
10368	N19	20277	2397.991686	2037.916087	2172.231617	99.894623	2397.991686	2037.916087	2172.231617	20.495258	1898	A375	Day01
10368	N20	20277	3045.696068	3012.249695	3012.614013	100	3045.696068	3012.249695	3012.614013	60.871143	2755	A375	Day01
10368	N21	20277	2632.768017	2259.863166	2397.686126	99.947914	2632.768017	2259.863166	2397.686126	26.770834	1920	A375	Day01
10368	N22	20277	2689.526076	2272.359281	2426.699442	100	2689.526076	2272.359281	2426.699442	29.898403	2067	A375	Day01
10369	C13	20278	1340.971826	1504.270596	1491.118106	94.769875	1340.971826	1504.270596	1394.222112	6.903766	478	CFPAC1	Day01
