,,,,Experiment_ID,,Date,,,Plate_ID,,Drug_ID,,Drug_conc,,Drug_unit,,Drug_control,,,,,,
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,treatment,unit,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,ng/ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,treatment,time,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,24hr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,treatment,group,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Standard,Standard,water,neg,neg,neg,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Standard,Standard,water,neg,neg,neg,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Standard,Standard,water,neg,neg,neg,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Standard,Standard,water,neg,neg,neg,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Standard,Standard,water,neg,neg,neg,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Standard,Standard,water,neg,neg,neg,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,Experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
